Main_Category,Sub_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
Total national emissions and removals,Energy,1990,2219894.7605096255,4490.614500333605,36.97946585373687,0.0,0.0,0.0
Total national emissions and removals,Energy,1991,2264693.8056079843,4552.743210420626,36.75914824846545,0.0,0.0,0.0
Total national emissions and removals,Energy,1992,2209779.0219203173,4496.019966776678,36.19790393210346,0.0,0.0,0.0
Total national emissions and removals,Energy,1993,2151569.711727268,4264.347038601774,35.80455798432363,0.0,0.0,0.0
Total national emissions and removals,Energy,1994,2118796.2562536905,3362.228698602224,36.58057665014163,0.0,0.0,0.0
Total national emissions and removals,Energy,1995,2084279.1082199053,3464.8840616443485,37.57329297060234,0.0,0.0,0.0
Total national emissions and removals,Energy,1996,2157484.0670508626,3277.440428101416,36.11783044952712,0.0,0.0,0.0
Total national emissions and removals,Energy,1997,2070394.1304111748,3022.63081238815,34.91197815776157,0.0,0.0,0.0
Total national emissions and removals,Energy,1998,2102448.544701122,2737.6235565704183,35.1391347220644,0.0,0.0,0.0
Total national emissions and removals,Energy,1999,2074656.164126698,2421.3052187689177,34.39248587496036,0.0,0.0,0.0
Total national emissions and removals,Energy,2000,2118125.0477274433,2195.4605805542983,34.32212633162706,0.0,0.0,0.0
Total national emissions and removals,Energy,2001,2161487.052138638,2036.3418389678013,34.33576127977443,0.0,0.0,0.0
Total national emissions and removals,Energy,2002,2102173.0624840767,1933.4710868686102,33.62873876061846,0.0,0.0,0.0
Total national emissions and removals,Energy,2003,2133522.18556592,1741.2450864672187,32.54892863127096,0.0,0.0,0.0
Total national emissions and removals,Energy,2004,2136462.6027001753,1695.7767562715953,31.64614678390011,0.0,0.0,0.0
Total national emissions and removals,Energy,2005,2131101.9403526746,1476.9359277392896,31.013541543253023,0.0,0.0,0.0
Total national emissions and removals,Energy,2006,2120870.6434523645,1374.5214809661006,30.39525215796843,0.0,0.0,0.0
Total national emissions and removals,Energy,2007,2079545.1967254286,1311.5475059834016,29.11312752066327,0.0,0.0,0.0
Total national emissions and removals,Energy,2008,2033809.4105086464,1256.1421682329724,26.38778706434313,0.0,0.0,0.0
Total national emissions and removals,Energy,2009,1863039.8660972381,1235.4090850514783,24.327972423584008,0.0,0.0,0.0
Total national emissions and removals,Energy,2010,1933797.3912715642,1214.0456027111536,24.8458167687234,0.0,0.0,0.0
Total national emissions and removals,Energy,2011,1768449.928650555,1165.0950248281779,24.4636306396605,0.0,0.0,0.0
Total national emissions and removals,Energy,2012,1839010.0197433243,1161.8302094585545,26.21926656661644,0.0,0.0,0.0
Total national emissions and removals,Energy,2013,1784497.9490348382,1022.5799425069174,25.95340787368773,0.0,0.0,0.0
Total national emissions and removals,Energy,2014,1627224.8525231986,969.8753634018626,25.23399745040403,0.0,0.0,0.0
Total national emissions and removals,Energy,2015,1572709.2491951492,918.9258582108564,25.46418477810492,0.0,0.0,0.0
Total national emissions and removals,Energy,2016,1500145.463808285,802.7052446460006,23.93826905101596,0.0,0.0,0.0
Total national emissions and removals,Energy,2017,1451501.5022360312,794.7610539952395,23.8323261373671,0.0,0.0,0.0
Total national emissions and removals,Energy,2018,1424875.2653854734,793.866292451965,24.1867626420039,0.0,0.0,0.0
Total national emissions and removals,Energy,2019,1368269.6652806147,767.8643195605428,23.85467480190549,0.0,0.0,0.0
Total national emissions and removals,Energy,2020,1211811.3147343867,710.2534333603851,21.8000775058845,0.0,0.0,0.0
Total national emissions and removals,Energy,2021,1302606.0517106962,690.8056604103857,22.73698536759576,0.0,0.0,0.0
Total national emissions and removals,Industrial processes and product use,1990,86385.139190098,23.35626377199654,163.8803406373181,24136.914934942102,2967.322617659486,0.10577261146828
Total national emissions and removals,Industrial processes and product use,1991,81503.4238116683,22.7232196073863,165.01306444497038,25165.651456320946,2486.1066859655734,0.11091403349008
Total national emissions and removals,Industrial processes and product use,1992,79925.75514269366,23.76774082899516,135.77550033922148,26205.112406941043,1235.2811032957934,0.11655041344976
Total national emissions and removals,Industrial processes and product use,1993,79116.1604554197,22.64811908683324,110.36382462354516,27529.371456416553,1077.4016929523075,0.10196700170004
Total national emissions and removals,Industrial processes and product use,1994,83775.88951517506,23.38098618946582,110.23057202019623,29074.606055653927,1092.818559933105,0.10588337390966
Total national emissions and removals,Industrial processes and product use,1995,85162.49792795218,19.35560358228548,100.08810654625977,31239.306848332933,1066.5458319444433,0.10986100021458
Total national emissions and removals,Industrial processes and product use,1996,88612.09419720634,21.51052719216546,99.39639188868166,32858.876720613414,1063.873802340864,0.1138968118922
Total national emissions and removals,Industrial processes and product use,1997,86179.86836850065,18.87979018503114,100.6014962252812,36712.216009371026,893.8825471631638,0.11163106588300001
Total national emissions and removals,Industrial processes and product use,1998,81329.64862502083,14.89121847708352,102.43658229400656,30747.64578614879,870.6242838334813,0.11579421017464
Total national emissions and removals,Industrial processes and product use,1999,82611.31839848286,13.06131554491048,38.6797428133722,17051.467445258095,824.6876113317581,0.13051300572045998
Total national emissions and removals,Industrial processes and product use,2000,77192.69443092386,12.1164186578827,39.94169570679268,13928.666204720443,1037.312215253407,0.15846172282364
Total national emissions and removals,Industrial processes and product use,2001,71237.04671804365,11.79136170541012,35.26815002791142,15277.645492531461,864.3493641633424,0.12559574552052
Total national emissions and removals,Industrial processes and product use,2002,65976.91515193513,12.04576732466576,24.53205986988152,16042.659235989606,730.963652856322,0.12873816124414
Total national emissions and removals,Industrial processes and product use,2003,71947.16244110801,13.55544568467968,22.98544775800714,17595.394950427184,642.5912192570642,0.1131836477932
Total national emissions and removals,Industrial processes and product use,2004,74811.19521664534,12.41009406765614,29.12653247679048,15835.437552947378,814.163901262646,0.09500793044194
Total national emissions and removals,Industrial processes and product use,2005,72365.65857797477,10.74660423089574,24.64131242463648,17354.349719288293,732.2767656884209,0.08960126137822
Total national emissions and removals,Industrial processes and product use,2006,73074.9531386443,10.89336227375474,20.90955306700668,19043.945949478486,724.0795927582731,0.07431402056436
Total national emissions and removals,Industrial processes and product use,2007,75795.0939636704,11.6105537749536,23.803481408386162,19929.965530447458,529.8686487922765,0.07067579057614
Total national emissions and removals,Industrial processes and product use,2008,70491.08535565442,9.05547040174136,22.57373943001496,20793.836561933123,476.31133262669084,0.057038300026960004
Total national emissions and removals,Industrial processes and product use,2009,52865.62445904096,9.7242619504422,13.24848523317158,21841.816646091313,348.4453348442758,0.04887471505206
Total national emissions and removals,Industrial processes and product use,2010,53106.930081258775,10.05933013031192,14.09473588750262,23006.656897772693,514.20139599106,0.05774767198002
Total national emissions and removals,Industrial processes and product use,2011,49633.27447111586,9.0800300941535,7.8783657082008,24269.765189490405,752.7457002993247,0.04815243846272
Total national emissions and removals,Industrial processes and product use,2012,52233.207139181664,9.83659914524862,6.2225549900182795,25510.313674128774,443.3175971580422,0.04593314943194
Total national emissions and removals,Industrial processes and product use,2013,60639.27890533061,10.42721536813378,5.86680991346606,26353.787303097517,548.3523045018948,0.04038683075156
Total national emissions and removals,Industrial processes and product use,2014,60360.3919439248,10.15510430611668,6.01129229355244,26686.319509447378,438.4227502275312,0.0372970231555
Total national emissions and removals,Industrial processes and product use,2015,56418.57994419345,6.71851066078024,5.75982717839266,26698.581000024133,514.4463242640741,0.03556632758064
Total national emissions and removals,Industrial processes and product use,2016,45976.61350743226,7.40033289439346,5.8284569978543,26719.45225227555,534.4635656470334,0.03815503589102
Total national emissions and removals,Industrial processes and product use,2017,46021.32927715913,6.52427234522962,6.0299419696311,26535.71980648284,773.8351391248668,0.03861923621418
Total national emissions and removals,Industrial processes and product use,2018,43187.22912663686,4.98715101450884,5.89323511516762,25901.100096208225,269.8879424832221,0.047233100147
Total national emissions and removals,Industrial processes and product use,2019,43576.56196400157,6.78420303185862,6.0774298105946,24666.291957949354,401.7163531351974,0.04171572009776
Total national emissions and removals,Industrial processes and product use,2020,42323.14580448317,6.46019045697356,5.43687475711452,23050.927590473508,302.2703146681813,0.03576738050436
Total national emissions and removals,Industrial processes and product use,2021,40263.477156327004,4.17951653977902,5.29626611720008,21639.420574307187,385.7551635298695,0.03589936327938
Total national emissions and removals,Total,1990,607337.2622038256,5388.815527925926,167.6798719143614,12068.457467471051,1483.661308829743,0.05288630573414
Total national emissions and removals,Total,1991,614363.2203847475,5419.626362665269,168.1944723172287,12582.825728160473,1243.0533429827867,0.05545701674504
Total national emissions and removals,Total,1992,597922.1096053956,5412.773361828221,151.4358931095106,13102.55620347052,617.6405516478967,0.05827520672488
Total national emissions and removals,Total,1993,583385.0584462105,5355.291009471564,137.0323899641951,13764.685728208276,538.7008464761537,0.05098350085002
Total national emissions and removals,Total,1994,577002.1620812862,5081.999547565378,139.2449717514107,14537.303027826963,546.4092799665525,0.05294168695483
Total national emissions and removals,Total,1995,569166.3775157833,5148.808197628839,134.66254722096738,15619.653424166469,533.2729159722217,0.05493050010729
Total national emissions and removals,Total,1996,588829.4196382763,5118.021418224986,134.90755768124126,16429.438360306707,531.936901170432,0.0569484059461
Total national emissions and removals,Total,1997,564783.4410595656,5019.541542898844,135.95180120376398,18356.108004685517,446.9412735815819,0.0558155329415
Total national emissions and removals,Total,1998,569367.1492088307,4881.873577704541,135.94562415593998,15373.822893074395,435.31214191674064,0.05789710508732
Total national emissions and removals,Total,1999,562016.9034296797,4656.257970000691,103.80261191427914,8525.733722629047,412.3438056658791,0.06525650286023
Total national emissions and removals,Total,2000,569664.5188886405,4440.300650440893,101.53920045003952,6964.333102360221,518.6561076267035,0.07923086141182
Total national emissions and removals,Total,2001,578183.0449040702,4264.230417310926,96.65904471149624,7638.82274626573,432.1746820816712,0.06279787276026
Total national emissions and removals,Total,2002,559951.8059813032,4169.075637858351,91.1035318049333,8021.329617994803,365.481826428161,0.06436908062207
Total national emissions and removals,Total,2003,570567.3833893036,3973.232719362052,89.62835714034085,8797.697475213592,321.2956096285321,0.0565918238966
Total national emissions and removals,Total,2004,571948.500800855,3792.249823994491,91.36188886184772,7917.718776473689,407.081950631323,0.04750396522097
Total national emissions and removals,Total,2005,568441.0823483546,3616.8859147390417,87.7989264444471,8677.174859644147,366.13838284421047,0.04480063068911
Total national emissions and removals,Total,2006,565670.0399673455,3448.0306923570392,84.13912809202536,9521.972974739245,362.0397963791365,0.03715701028218
Total national emissions and removals,Total,2007,557124.5530986828,3295.300347539717,84.18463560901452,9964.982765223727,264.93432439613827,0.03533789528807
Total national emissions and removals,Total,2008,541772.1831109255,3064.00486903141,82.10219333230248,10396.918280966562,238.15566631334545,0.02851915001348
Total national emissions and removals,Total,2009,490774.6576363848,2890.482014400067,76.75023506445102,10920.908323045656,174.2226674221379,0.02443735752603
Total national emissions and removals,Total,2010,508588.672878558,2704.6006281120312,78.20812912634254,11503.328448886346,257.10069799553,0.02887383599001
Total national emissions and removals,Total,2011,465540.5457017914,2598.7697149938194,75.51051576550616,12134.882594745202,376.3728501496623,0.02407621923136
Total national emissions and removals,Total,2012,483427.42299713567,2534.4961957293176,74.53535876362096,12755.156837064387,221.6587985790211,0.02296657471597
Total national emissions and removals,Total,2013,473376.8567655967,2366.788999797462,74.5133580379318,13176.893651548758,274.1761522509474,0.02019341537578
Total national emissions and removals,Total,2014,434008.9272177405,2287.2403627153226,76.4625576647936,13343.159754723689,219.2113751137656,0.01864851157775
Total national emissions and removals,Total,2015,417899.521751107,2248.850292344083,75.76462361336294,13349.290500012065,257.22316213203703,0.01778316379032
Total national emissions and removals,Total,2016,394833.8305490154,2176.2411266065988,74.01543319186187,13359.726126137775,267.2317828235167,0.01907751794551
Total national emissions and removals,Total,2017,382359.88176205545,2189.9158739040686,75.3843507921433,13267.85990324142,386.9175695624334,0.01930961810709
Total national emissions and removals,Total,2018,375082.01874149445,2173.640425004562,74.68778488191973,12950.550048104113,134.94397124161105,0.0236165500735
Total national emissions and removals,Total,2019,361714.4349767572,2157.8937431545505,75.10587532536039,12333.145978974677,200.8581765675987,0.02085786004888
Total national emissions and removals,Total,2020,321430.23387779394,2069.971258555041,70.70719563316965,11525.463795236754,151.13515733409065,0.01788369025218
Total national emissions and removals,Total,2021,342591.0955324837,2051.168174868067,72.43470314429108,10819.710287153594,192.87758176493475,0.01794968163969
